id,title,year,title,maize,sorghum,millets,rice,soybean,other-crops,association-studies,genomics,transcriptomics,image-analysis,quantitative-genetics,ai-ml,engineering,comparative-genomics,genome-editing,genotype-environment-interaction,flowering-time,stress-tolerance,photosynthesis,microbiome,nitrogen,phenomics,review-methods,data-release
2019-y-inplanta-nitrate-detection,In-planta nitrate detection using insertable plant microsensor.,2019,In-planta nitrate detection using insertable plant microsensor.,,,,,,,,,,,,,x,,,,,,,,x,,,
2019-ma-novel-allsolidstate-soil,Novel all-solid-state soil nutrient sensor using nanocomposite of poly(3-octyl-thiophene) and mol...,2019,Novel all-solid-state soil nutrient sensor using nanocomposite of poly(3-octyl-thiophene) and mol...,,,,,,,,,,,,,x,,,,,,,,x,,,
2019-g-nuspidercam-a-largescale,"NU-Spidercam: A large-scale, cable-driven, integrated sensing and robotic system for precision ph...",2019,"NU-Spidercam: A large-scale, cable-driven, integrated sensing and robotic system for precision ph...",,,,,,,,,,x,,,x,,,,,,,,,,,
2019-l-qtl-identification-and,QTL identification and epistatic effect analysis of seed size- and weight-related traits in Zea m...,2019,QTL identification and epistatic effect analysis of seed size- and weight-related traits in Zea m...,x,,,,,,x,,,,,,,,,,,,,,,,,
2019-c-the-genome-of,The genome of broomcorn millet.,2019,The genome of broomcorn millet.,,,x,,,,,x,,,,,,,,,,,,,,,,
2019-jc-genes-and-gene,"Genes and Gene Models, an Important Distinction.",2019,"Genes and Gene Models, an Important Distinction.",,,,,,,,,,,,,,,,,,,,,,,x,
2019-a-in-vivo-humanlike,In vivo human-like robotic phenotyping of leaf traits in maize and sorghum.,2019,In vivo human-like robotic phenotyping of leaf traits in maize and sorghum.,x,x,,,,,,,,,,,x,,,,,,,,,x,,
2018-z-phenotypic-data-from,Phenotypic data from inbred parents can improve genomic prediction in pearl millet hybrids.,2018,Phenotypic data from inbred parents can improve genomic prediction in pearl millet hybrids.,,,x,,,,,,,,x,,,,,,,,,,,,,
2018-c-genotypecorrector-improved-genotype,Genotype-Corrector: improved genotype calls for genetic mapping.,2018,Genotype-Corrector: improved genotype calls for genetic mapping.,,,,,,,,x,,,,,,,,,,,,,,,x,
2018-ds-integrating-phylogenetic-and,Integrating phylogenetic and network approaches to study gene family evolution: the case of the A...,2018,Integrating phylogenetic and network approaches to study gene family evolution: the case of the A...,,,,,,,,,,,,,,x,,,,,,,,,x,
2018-x-largely-unlinked-gene,Largely unlinked gene sets targeted by selection for domestication syndrome phenotypes in maize a...,2018,Largely unlinked gene sets targeted by selection for domestication syndrome phenotypes in maize a...,x,x,,,,,,x,,,,,,,,,,,,,,,,
2018-c-optimizing-the-identification,Optimizing the identification of causal variants across varying genetic architectures in crops.,2018,Optimizing the identification of causal variants across varying genetic architectures in crops.,,,,,,,x,,,,x,,,,,,,,,,,,x,
2018-z-functional-divergence-between,Functional Divergence Between Subgenomes and Gene Pairs After Whole Genome Duplications.,2018,Functional Divergence Between Subgenomes and Gene Pairs After Whole Genome Duplications.,,,,,,,,,,,,,,x,,,,,,,,,x,
2018-skk-lowtemperature-tolerance-in,Low-temperature tolerance in land plants: Are transcript and membrane responses conserved?.,2018,Low-temperature tolerance in land plants: Are transcript and membrane responses conserved?.,,,,,,,,,,,,,,,,,,x,,,,,x,
2018-s-intragenic-meiotic-crossovers,Intragenic Meiotic Crossovers Generate Novel Alleles with Transgressive Expression Levels.,2018,Intragenic Meiotic Crossovers Generate Novel Alleles with Transgressive Expression Levels.,x,,,,,,,x,,,,,,,,,,,,,,,,
2018-a-linked-read-technology,Linked read technology for assembling large complex and polyploid genomes.,2018,Linked read technology for assembling large complex and polyploid genomes.,,,x,,,,,x,,,,,,,,,,,,,,,,
2018-tf-location-of-low,Location of low copy genes in chromosomes of Brachiaria spp.,2018,Location of low copy genes in chromosomes of Brachiaria spp.,,,,,,,,x,,,,,,,,,,,,,,,,
2018-n-maize-genomes-to,"Maize Genomes to Fields: 2014 and 2015 field season genotype, phenotype, environment, and inbred ...",2018,"Maize Genomes to Fields: 2014 and 2015 field season genotype, phenotype, environment, and inbred ...",x,,,,,,,,,,,,,,,,,,,,,,,x
2018-y-functional-modeling-of,Functional Modeling of Plant Growth Dynamics.,2018,Functional Modeling of Plant Growth Dynamics.,,,,,,,,,,,,,,,,,,,,,,x,x,
2017-y-differentially-regulated-orthologs,Differentially regulated orthologs in sorghum and the subgenomes of maize.,2017,Differentially regulated orthologs in sorghum and the subgenomes of maize.,x,x,,,,,,x,x,,,,,x,,,,,,,,,,
2017-x-genomewide-characterization-of,Genome-Wide Characterization of Non-Reference Transposable Elements Insertion Polymorphisms Revea...,2017,Genome-Wide Characterization of Non-Reference Transposable Elements Insertion Polymorphisms Revea...,x,,,,,,,x,,,,,,,,,,,,,,,,
2017-z-conventional-and-hyperspectral,Conventional and hyperspectral time-series imaging of maize lines widely used in field trials.,2017,Conventional and hyperspectral time-series imaging of maize lines widely used in field trials.,x,,,,,,,,,x,,,,,,,,,,,,x,,
2017-x-harnessing-the-potential,Harnessing the potential of the tea tree genome.,2017,Harnessing the potential of the tea tree genome.,,,,,,,,,,,,,,,,,,,,,,,x,
2017-jd-genomeguided-phylotranscriptomics,Genome-Guided Phylo-Transcriptomics.,2017,Genome-Guided Phylo-Transcriptomics.,,,,,,,,x,,,,,,,x,,,,,,,,,
2017-w-a-comprehensive-analysis,A comprehensive analysis of alternative splicing in paleopolyploid maize.,2017,A comprehensive analysis of alternative splicing in paleopolyploid maize.,x,,,,,,,x,x,,,,,x,,,,,,,,,,
2017-s-dice-discovery-of,DiCE: Discovery of Conserved Noncoding Sequences Efficiently.,2017,DiCE: Discovery of Conserved Noncoding Sequences Efficiently.,,,,,,,,x,,,,,,x,,,,,,,,,x,
2017-w-evolutionarily-conserved-alternative,Evolutionarily conserved alternative splicing across monocots.,2017,Evolutionarily conserved alternative splicing across monocots.,,,,,,,,x,x,,,,,x,,,,,,,,,,
2017-p-high-throughput-in,High throughput in vivo analysis of plant leaf chemical properties using hyperspectral imaging.,2017,High throughput in vivo analysis of plant leaf chemical properties using hyperspectral imaging.,,,,,,,,,,x,,,,,,,,,,,,x,,
2017-z-stagcns-an-orderaware,STAG-CNS: An order-aware conserved noncoding sequence discovery tool for arbitrary numbers of spe...,2017,STAG-CNS: An order-aware conserved noncoding sequence discovery tool for arbitrary numbers of spe...,,,,,,,,x,,,,,,x,,,,,,,,,x,
2017-j-the-effect-of,The effect of artificial selection on phenotypic plasticity in maize.,2017,The effect of artificial selection on phenotypic plasticity in maize.,x,,,,,,,,,,,,,,,x,,,,,,,,
2017-jc-tunable-genotypingbysequencing-tgbs,Tunable Genotyping-By-Sequencing (tGBS) enables reliable genotyping of heterozygous loci.,2017,Tunable Genotyping-By-Sequencing (tGBS) enables reliable genotyping of heterozygous loci.,,,,,,,,x,,,,,,,,,,,,,,,x,
2016-z-rnaseq-based-analysis,RNA-seq based analysis of population structure within the maize inbred B73.,2016,RNA-seq based analysis of population structure within the maize inbred B73.,x,,,,,,,x,x,,,,,,,,,,,,,,,
2016-sd-automated-vegetative-stage,Automated vegetative stage phenotyping analysis of maize plants using visible light images.,2016,Automated vegetative stage phenotyping analysis of maize plants using visible light images.,x,,,,,,,,,x,,,,,,,,,,,,,,
2016-p-cross-species-selection,Cross species selection scans identify components of C4 photosynthesis in the grasses.,2016,Cross species selection scans identify components of C4 photosynthesis in the grasses.,,,,,,,,,,,,,,x,,,,,x,,,,,
2016-f-epigenetic-regulation-of,Epigenetic regulation of subgenome dominance following whole genome triplication in Brassica rapa.,2016,Epigenetic regulation of subgenome dominance following whole genome triplication in Brassica rapa.,,,,,,,,x,,,,,,x,,,,,,,,,,
2016-bl-fractbias-a-graphical,FractBias: a graphical tool for assessing fractionation bias after whole genome duplications.,2016,FractBias: a graphical tool for assessing fractionation bias after whole genome duplications.,,,,,,,,x,,,,,,x,,,,,,,,,,
2016-z-integration-of-omic,Integration of omic networks in a developmental atlas of maize.,2016,Integration of omic networks in a developmental atlas of maize.,x,,,,,,,x,,,,,,,,,,,,,,,,
2016-x-the-cterminal-motif,"The C-terminal motif of SiAGO1b is required for the regulation of growth, development and stress ...",2016,"The C-terminal motif of SiAGO1b is required for the regulation of growth, development and stress ...",,,x,,,,,,,,,,,,,,,x,,,,,,
2016-sg-mapping-qtls-for,Mapping QTLs for morpho-agronomic traits in proso millet (Panicum miliaceum L.).,2016,Mapping QTLs for morpho-agronomic traits in proso millet (Panicum miliaceum L.).,,,x,,,,,,,,x,,,,,,,,,,,,,
2016-y-temporal-dynamics-of,"Temporal dynamics of maize plant growth, water use, and plant water content using automated high ...",2016,"Temporal dynamics of maize plant growth, water use, and plant water content using automated high ...",x,,,,,,,,,x,,,,,,,,,,,,x,,
2016-s-the-draft-genome,The draft genome of Dichanthelium oligosanthes: A C3 panicoid grass species.,2016,The draft genome of Dichanthelium oligosanthes: A C3 panicoid grass species.,,,,,,,,x,,,,,,,,,,,,,,,,
2015-h-allmaps-robust-scaffold,ALLMAPS: robust scaffold ordering based on multiple maps.,2015,ALLMAPS: robust scaffold ordering based on multiple maps.,,,,,,,,x,,,,,,,,,,,,,,,x,
2015-s-impacts-of-whole,Impacts of Whole Genome Triplication on MIRNA Evolution in Brassica rapa.,2015,Impacts of Whole Genome Triplication on MIRNA Evolution in Brassica rapa.,,,,,,,,x,,,,,,x,,,,,,,,,,
2015-g-microsatellite-variations-of,Microsatellite Variations of Elite Setaria Varieties Released during Last Six Decades in China.,2015,Microsatellite Variations of Elite Setaria Varieties Released during Last Six Decades in China.,,,x,,,,,,,,,,,,,,,,,,,,,
2015-jd-phylogeny-and-photosynthesis,Phylogeny and photosynthesis of the grass tribe Paniceae.,2015,Phylogeny and photosynthesis of the grass tribe Paniceae.,,,,,,,,,,,,,,x,,,,,x,,,,,
2015-h-synfind-compiling-syntenic,SynFind: compiling syntenic regions across any set of genomes on demand.,2015,SynFind: compiling syntenic regions across any set of genomes on demand.,,,,,,,,x,,,,,,x,,,,,,,,,x,
2015-jc-genome-evolution-in,Genome evolution in maize: from genomes back to genes.,2015,Genome evolution in maize: from genomes back to genes.,x,,,,,,,,,,,,,,,,,,,,,,x,
2014-ja-a-near-complete,A near complete snapshot of the Zea mays seedling transcriptome revealed from ultra-deep sequencing.,2014,A near complete snapshot of the Zea mays seedling transcriptome revealed from ultra-deep sequencing.,x,,,,,,,x,x,,,,,,,,,,,,,,,
2014-amr-cooption-of-the,Co-option of the polarity gene network shapes filament morphology in angiosperms.,2014,Co-option of the polarity gene network shapes filament morphology in angiosperms.,,,,,,,,,,,,,,x,,,,,,,,,,
2014-x-initiation-of-setaria,Initiation of Setaria as a model plant.,2014,Initiation of Setaria as a model plant.,,,x,,,,,,,,,,,,,,,,,,,,x,
2014-l-mapping-of-quantitative,Mapping of Quantitative Trait Locus (QTLs) that Contribute to Germination and Early Seedling Drou...,2014,Mapping of Quantitative Trait Locus (QTLs) that Contribute to Germination and Early Seedling Drou...,,,x,,,,,,,,x,,,,,,,x,,,,,,
2014-a-nonsyntenic-genes-drive,Nonsyntenic Genes Drive Highly Dynamic Complementation of Gene Expression in Maize Hybrids.,2014,Nonsyntenic Genes Drive Highly Dynamic Complementation of Gene Expression in Maize Hybrids.,x,,,,,,,,x,,,,,x,,,,,,,,,,
2013-g-automated-conserved-noncoding,Automated conserved noncoding sequence (CNS) discovery reveals differences in gene content and pr...,2013,Automated conserved noncoding sequence (CNS) discovery reveals differences in gene content and pr...,,,,,,,,x,,,,,,x,,,,,,,,,,
2013-a-two-evolutionarily-distinct,Two Evolutionarily Distinct Classes of Paleopolyploidy.,2013,Two Evolutionarily Distinct Classes of Paleopolyploidy.,,,,,,,,,,,,,,x,,,,,,,,,x,
2012-jc-escape-from-preferential,Escape from preferential retention following repeated whole genome duplication in plants.,2012,Escape from preferential retention following repeated whole genome duplication in plants.,,,,,,,,,,,,,,x,,,,,,,,,x,
2012-jc-genomewide-analysis-of,Genome-wide analysis of syntenic gene deletion in the grasses.,2012,Genome-wide analysis of syntenic gene deletion in the grasses.,,,,,,,,x,,,,,,x,,,,,,,,,,
2012-h-altered-patterns-of,Altered patterns of fractionation and exon deletions in Brassica rapa support a two-step model of...,2012,Altered patterns of fractionation and exon deletions in Brassica rapa support a two-step model of...,,,,,,,,,,,,,,x,,,,,,,,,,
2012-w-highresolution-mapping-of,High-resolution mapping of open chromatin in the rice genome.,2012,High-resolution mapping of open chromatin in the rice genome.,,,,x,,,,x,,,,,,,,,,,,,,,,
2012-m-fractionation-mutagenesis-and,Fractionation mutagenesis and similar consequences of mechanisms removing dispensable or less-exp...,2012,Fractionation mutagenesis and similar consequences of mechanisms removing dispensable or less-exp...,,,,,,,,,,,,,,x,,,,,,,,,x,
2011-jc-comparative-genomics-with,Comparative genomics with maize and other grasses: from genes to genomes.,2011,Comparative genomics with maize and other grasses: from genes to genomes.,x,,,,,,,,,,,,,,,,,,,,,,x,
2011-jc-differentiation-of-the,Differentiation of the maize subgenomes by genome dominance and both ancient and ongoing gene loss.,2011,Differentiation of the maize subgenomes by genome dominance and both ancient and ongoing gene loss.,x,,,,,,,x,,,,,,x,,,,,,,,,,
2011-jc-dosesensitivity-conserved-noncoding,"Dose-sensitivity, conserved noncoding sequences and duplicate gene retention through multiple tet...",2011,"Dose-sensitivity, conserved noncoding sequences and duplicate gene retention through multiple tet...",,,,,,,,x,,,,,,x,,,,,,,,,,
2011-jc-genes-identified-by,Genes identified by visible mutant phenotypes show increased bias towards one of two maize subgen...,2011,Genes identified by visible mutant phenotypes show increased bias towards one of two maize subgen...,x,,,,,,,,,,,,,,,,,,,,,,,
2011-h-screening-synteny-blocks,Screening synteny blocks in pairwise genome comparisons through integer programming.,2011,Screening synteny blocks in pairwise genome comparisons through integer programming.,,,,,,,,,,,,,,x,,,,,,,,,x,
2011-jc-heritable-epigenetic-variation,Heritable epigenetic variation among maize inbreds.,2011,Heritable epigenetic variation among maize inbreds.,x,,,,,,,x,,,,,,,,,,,,,,,,
2010-bs-following-tetraploidy-in,"Following tetraploidy in maize, a short deletion mechanism removed genes preferentially from one ...",2010,"Following tetraploidy in maize, a short deletion mechanism removed genes preferentially from one ...",x,,,,,,,,,,,,,x,,,,,,,,,,
2010-initiative-genome-sequencing-and,Genome sequencing and analysis of the model grass Brachypodium distachyon.,2010,Genome sequencing and analysis of the model grass Brachypodium distachyon.,,,,,,,,x,,,,,,,,,,,,,,,,
